Date : 2021-09-30 02:09:02
Directory : d:\REACT\ExpoApp-frontend2\frontend
Total : 290 files,  54800 codes, 719 comments, 2185 blanks, all 57704 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| d:\REACT\ExpoApp-frontend2\frontend\desktop\src\renderer\src\components\Preloader.js                                    | JavaScript |         11 |          0 |          8 |         19 |
| d:\REACT\ExpoApp-frontend2\frontend\desktop\src\renderer\src\components\Progress.js                                     | JavaScript |         21 |          0 |          3 |         24 |
| d:\REACT\ExpoApp-frontend2\frontend\desktop\src\renderer\src\components\ScrollToTop.js                                  | JavaScript |          9 |          2 |          4 |         15 |
| d:\REACT\ExpoApp-frontend2\frontend\desktop\src\renderer\src\components\Sidebar.js                                      | JavaScript |        105 |         10 |         13 |        128 |
| d:\REACT\ExpoApp-frontend2\frontend\desktop\src\renderer\src\components\Tables.js                                       | JavaScript |      1,749 |         11 |        108 |      1,868 |
| d:\REACT\ExpoApp-frontend2\frontend\desktop\src\renderer\src\components\Update.js                                       | JavaScript |        116 |          0 |          4 |        120 |
| d:\REACT\ExpoApp-frontend2\frontend\desktop\src\renderer\src\components\Widgets.js                                      | JavaScript |        305 |          3 |         20 |        328 |
| d:\REACT\ExpoApp-frontend2\frontend\desktop\src\renderer\src\data\charts.js                                             | JavaScript |         14 |          0 |          3 |         17 |
| d:\REACT\ExpoApp-frontend2\frontend\desktop\src\renderer\src\data\commands.js                                           | JavaScript |         37 |          0 |          1 |         38 |
| d:\REACT\ExpoApp-frontend2\frontend\desktop\src\renderer\src\data\features.js                                           | JavaScript |         76 |          0 |          3 |         79 |
| d:\REACT\ExpoApp-frontend2\frontend\desktop\src\renderer\src\data\notifications.js                                      | JavaScript |         52 |          0 |          2 |         54 |
| d:\REACT\ExpoApp-frontend2\frontend\desktop\src\renderer\src\data\pages.js                                              | JavaScript |         73 |          0 |          4 |         77 |
| d:\REACT\ExpoApp-frontend2\frontend\desktop\src\renderer\src\data\tables.js                                             | JavaScript |         42 |          0 |          8 |         50 |
| d:\REACT\ExpoApp-frontend2\frontend\desktop\src\renderer\src\data\teamMembers.js                                        | JavaScript |         39 |          0 |          3 |         42 |
| d:\REACT\ExpoApp-frontend2\frontend\desktop\src\renderer\src\data\transactions.js                                       | JavaScript |         83 |          0 |          2 |         85 |
| d:\REACT\ExpoApp-frontend2\frontend\desktop\src\renderer\src\index.js                                                   | JavaScript |         15 |         12 |         10 |         37 |
| d:\REACT\ExpoApp-frontend2\frontend\desktop\src\renderer\src\pages\HomePage.js                                          | JavaScript |         67 |          3 |         16 |         86 |
| d:\REACT\ExpoApp-frontend2\frontend\desktop\src\renderer\src\pages\Presentation.js                                      | JavaScript |        528 |          0 |         16 |        544 |
| d:\REACT\ExpoApp-frontend2\frontend\desktop\src\renderer\src\pages\Transactions.js                                      | JavaScript |         58 |          0 |          5 |         63 |
| d:\REACT\ExpoApp-frontend2\frontend\desktop\src\renderer\src\pages\Upgrade.js                                           | JavaScript |         82 |          0 |          2 |         84 |
| d:\REACT\ExpoApp-frontend2\frontend\desktop\src\renderer\src\pages\components\Accordion.js                              | JavaScript |         48 |          0 |          5 |         53 |
| d:\REACT\ExpoApp-frontend2\frontend\desktop\src\renderer\src\pages\components\Alerts.js                                 | JavaScript |        164 |          0 |         23 |        187 |
| d:\REACT\ExpoApp-frontend2\frontend\desktop\src\renderer\src\pages\components\Badges.js                                 | JavaScript |         72 |          0 |          9 |         81 |
| d:\REACT\ExpoApp-frontend2\frontend\desktop\src\renderer\src\pages\components\Breadcrumbs.js                            | JavaScript |         83 |          0 |         12 |         95 |
| d:\REACT\ExpoApp-frontend2\frontend\desktop\src\renderer\src\pages\components\Buttons.js                                | JavaScript |        289 |          0 |         39 |        328 |
| d:\REACT\ExpoApp-frontend2\frontend\desktop\src\renderer\src\pages\components\Forms.js                                  | JavaScript |        243 |          0 |         19 |        262 |
| d:\REACT\ExpoApp-frontend2\frontend\desktop\src\renderer\src\pages\components\Modals.js                                 | JavaScript |         60 |          0 |         10 |         70 |
| d:\REACT\ExpoApp-frontend2\frontend\desktop\src\renderer\src\pages\components\Navbars.js                                | JavaScript |         86 |          0 |         17 |        103 |
| d:\REACT\ExpoApp-frontend2\frontend\desktop\src\renderer\src\pages\components\Navs.js                                   | JavaScript |        125 |          0 |          9 |        134 |
| d:\REACT\ExpoApp-frontend2\frontend\desktop\src\renderer\src\pages\components\Pagination.js                             | JavaScript |        192 |          0 |         29 |        221 |
| d:\REACT\ExpoApp-frontend2\frontend\desktop\src\renderer\src\pages\components\Popovers.js                               | JavaScript |         91 |          0 |          7 |         98 |
| d:\REACT\ExpoApp-frontend2\frontend\desktop\src\renderer\src\pages\components\Progress.js                               | JavaScript |         57 |          0 |          7 |         64 |
| d:\REACT\ExpoApp-frontend2\frontend\desktop\src\renderer\src\pages\components\Tables.js                                 | JavaScript |        135 |          0 |          7 |        142 |
| d:\REACT\ExpoApp-frontend2\frontend\desktop\src\renderer\src\pages\components\Tabs.js                                   | JavaScript |        196 |          0 |          7 |        203 |
| d:\REACT\ExpoApp-frontend2\frontend\desktop\src\renderer\src\pages\components\Toasts.js                                 | JavaScript |         93 |          0 |         14 |        107 |
| d:\REACT\ExpoApp-frontend2\frontend\desktop\src\renderer\src\pages\components\Tooltips.js                               | JavaScript |         76 |          0 |          7 |         83 |
| d:\REACT\ExpoApp-frontend2\frontend\desktop\src\renderer\src\pages\dashboard\DashboardOverview.js                       | JavaScript |        168 |          3 |         10 |        181 |
| d:\REACT\ExpoApp-frontend2\frontend\desktop\src\renderer\src\pages\documentation\DocsBuild.js                           | JavaScript |         21 |          0 |          5 |         26 |
| d:\REACT\ExpoApp-frontend2\frontend\desktop\src\renderer\src\pages\documentation\DocsChangelog.js                       | JavaScript |         22 |          0 |          5 |         27 |
| d:\REACT\ExpoApp-frontend2\frontend\desktop\src\renderer\src\pages\documentation\DocsDownload.js                        | JavaScript |         22 |          0 |          4 |         26 |
| d:\REACT\ExpoApp-frontend2\frontend\desktop\src\renderer\src\pages\documentation\DocsFolderStructure.js                 | JavaScript |         47 |          0 |          9 |         56 |
| d:\REACT\ExpoApp-frontend2\frontend\desktop\src\renderer\src\pages\documentation\DocsLicense.js                         | JavaScript |         19 |          0 |          4 |         23 |
| d:\REACT\ExpoApp-frontend2\frontend\desktop\src\renderer\src\pages\documentation\DocsOverview.js                        | JavaScript |         35 |          0 |          7 |         42 |
| d:\REACT\ExpoApp-frontend2\frontend\desktop\src\renderer\src\pages\documentation\DocsQuickStart.js                      | JavaScript |         58 |          0 |          8 |         66 |
| d:\REACT\ExpoApp-frontend2\frontend\desktop\src\renderer\src\pages\examples\ForgotPassword.js                           | JavaScript |         40 |          0 |          5 |         45 |
| d:\REACT\ExpoApp-frontend2\frontend\desktop\src\renderer\src\pages\examples\NotFound.js                                 | JavaScript |         36 |          0 |          6 |         42 |
| d:\REACT\ExpoApp-frontend2\frontend\desktop\src\renderer\src\pages\examples\ResetPassword.js                            | JavaScript |         60 |          0 |          5 |         65 |
| d:\REACT\ExpoApp-frontend2\frontend\desktop\src\renderer\src\pages\examples\ServerError.js                              | JavaScript |         34 |          0 |          5 |         39 |
| d:\REACT\ExpoApp-frontend2\frontend\desktop\src\renderer\src\pages\examples\Signin.js                                   | JavaScript |         73 |          3 |          8 |         84 |
| d:\REACT\ExpoApp-frontend2\frontend\desktop\src\renderer\src\pages\examples\Signup.js                                   | JavaScript |         46 |          0 |          5 |         51 |
| d:\REACT\ExpoApp-frontend2\frontend\desktop\src\renderer\src\pages\tables\BootstrapTables.js                            | JavaScript |         26 |          0 |          6 |         32 |
| d:\REACT\ExpoApp-frontend2\frontend\desktop\src\renderer\src\routes.js                                                  | JavaScript |         37 |          2 |          2 |         41 |
| d:\REACT\ExpoApp-frontend2\frontend\desktop\src\renderer\src\scss\volt.scss                                             | SCSS       |         12 |         19 |         14 |         45 |
| d:\REACT\ExpoApp-frontend2\frontend\desktop\src\renderer\src\scss\volt\_components.scss                                 | SCSS       |         33 |          0 |          1 |         34 |
| d:\REACT\ExpoApp-frontend2\frontend\desktop\src\renderer\src\scss\volt\_functions.scss                                  | SCSS       |         15 |          2 |          6 |         23 |
| d:\REACT\ExpoApp-frontend2\frontend\desktop\src\renderer\src\scss\volt\_layout.scss                                     | SCSS       |          5 |          0 |          1 |          6 |
| d:\REACT\ExpoApp-frontend2\frontend\desktop\src\renderer\src\scss\volt\_mixins.scss                                     | SCSS       |          7 |          0 |          1 |          8 |
| d:\REACT\ExpoApp-frontend2\frontend\desktop\src\renderer\src\scss\volt\_reboot.scss                                     | SCSS       |         24 |          0 |          6 |         30 |
| d:\REACT\ExpoApp-frontend2\frontend\desktop\src\renderer\src\scss\volt\_utilities.scss                                  | SCSS       |          8 |          0 |          1 |          9 |
| d:\REACT\ExpoApp-frontend2\frontend\desktop\src\renderer\src\scss\volt\_variables.scss                                  | SCSS       |      1,209 |        138 |        335 |      1,682 |
| d:\REACT\ExpoApp-frontend2\frontend\desktop\src\renderer\src\scss\volt\_vendor.scss                                     | SCSS       |          4 |          4 |          1 |          9 |
| d:\REACT\ExpoApp-frontend2\frontend\desktop\src\renderer\src\scss\volt\components\_accordions.scss                      | SCSS       |         25 |          6 |          8 |         39 |
| d:\REACT\ExpoApp-frontend2\frontend\desktop\src\renderer\src\scss\volt\components\_alerts.scss                          | SCSS       |          9 |          0 |          1 |         10 |
| d:\REACT\ExpoApp-frontend2\frontend\desktop\src\renderer\src\scss\volt\components\_avatars.scss                         | SCSS       |         81 |          4 |         15 |        100 |
| d:\REACT\ExpoApp-frontend2\frontend\desktop\src\renderer\src\scss\volt\components\_badge.scss                           | SCSS       |         80 |          8 |         15 |        103 |
| d:\REACT\ExpoApp-frontend2\frontend\desktop\src\renderer\src\scss\volt\components\_blog-cards.scss                      | SCSS       |          8 |          3 |          1 |         12 |
| d:\REACT\ExpoApp-frontend2\frontend\desktop\src\renderer\src\scss\volt\components\_breadcrumb.scss                      | SCSS       |         54 |          3 |          9 |         66 |
| d:\REACT\ExpoApp-frontend2\frontend\desktop\src\renderer\src\scss\volt\components\_buttons.scss                         | SCSS       |         55 |          7 |         13 |         75 |
| d:\REACT\ExpoApp-frontend2\frontend\desktop\src\renderer\src\scss\volt\components\_card.scss                            | SCSS       |        219 |          5 |         39 |        263 |
| d:\REACT\ExpoApp-frontend2\frontend\desktop\src\renderer\src\scss\volt\components\_carousel.scss                        | SCSS       |         40 |          5 |          7 |         52 |
| d:\REACT\ExpoApp-frontend2\frontend\desktop\src\renderer\src\scss\volt\components\_charts.scss                          | SCSS       |         44 |          1 |          8 |         53 |
| d:\REACT\ExpoApp-frontend2\frontend\desktop\src\renderer\src\scss\volt\components\_close.scss                           | SCSS       |         27 |          3 |          4 |         34 |
| d:\REACT\ExpoApp-frontend2\frontend\desktop\src\renderer\src\scss\volt\components\_counters.scss                        | SCSS       |         10 |          3 |          2 |         15 |
| d:\REACT\ExpoApp-frontend2\frontend\desktop\src\renderer\src\scss\volt\components\_custom-forms.scss                    | SCSS       |         79 |          7 |         18 |        104 |
| d:\REACT\ExpoApp-frontend2\frontend\desktop\src\renderer\src\scss\volt\components\_datepicker.scss                      | SCSS       |         20 |          3 |          4 |         27 |
| d:\REACT\ExpoApp-frontend2\frontend\desktop\src\renderer\src\scss\volt\components\_dropdown.scss                        | SCSS       |         75 |          6 |         19 |        100 |
| d:\REACT\ExpoApp-frontend2\frontend\desktop\src\renderer\src\scss\volt\components\_dropzone.scss                        | SCSS       |         47 |          0 |          5 |         52 |
| d:\REACT\ExpoApp-frontend2\frontend\desktop\src\renderer\src\scss\volt\components\_forms.scss                           | SCSS       |         66 |          1 |         16 |         83 |
| d:\REACT\ExpoApp-frontend2\frontend\desktop\src\renderer\src\scss\volt\components\_icon-box.scss                        | SCSS       |        157 |          6 |         43 |        206 |
| d:\REACT\ExpoApp-frontend2\frontend\desktop\src\renderer\src\scss\volt\components\_images.scss                          | SCSS       |         78 |          3 |         15 |         96 |
| d:\REACT\ExpoApp-frontend2\frontend\desktop\src\renderer\src\scss\volt\components\_input-group.scss                     | SCSS       |         35 |          4 |         13 |         52 |
| d:\REACT\ExpoApp-frontend2\frontend\desktop\src\renderer\src\scss\volt\components\_list-group.scss                      | SCSS       |         75 |          6 |         16 |         97 |
| d:\REACT\ExpoApp-frontend2\frontend\desktop\src\renderer\src\scss\volt\components\_modal.scss                           | SCSS       |         23 |          3 |          6 |         32 |
| d:\REACT\ExpoApp-frontend2\frontend\desktop\src\renderer\src\scss\volt\components\_nav.scss                             | SCSS       |        180 |         11 |         36 |        227 |
| d:\REACT\ExpoApp-frontend2\frontend\desktop\src\renderer\src\scss\volt\components\_pagination.scss                      | SCSS       |         12 |          3 |          2 |         17 |
| d:\REACT\ExpoApp-frontend2\frontend\desktop\src\renderer\src\scss\volt\components\_popover.scss                         | SCSS       |         11 |          4 |          4 |         19 |
| d:\REACT\ExpoApp-frontend2\frontend\desktop\src\renderer\src\scss\volt\components\_preloader.scss                       | SCSS       |         26 |          0 |          6 |         32 |
| d:\REACT\ExpoApp-frontend2\frontend\desktop\src\renderer\src\scss\volt\components\_pricing-cards.scss                   | SCSS       |         33 |          3 |          6 |         42 |
| d:\REACT\ExpoApp-frontend2\frontend\desktop\src\renderer\src\scss\volt\components\_progress.scss                        | SCSS       |         99 |          4 |         15 |        118 |
| d:\REACT\ExpoApp-frontend2\frontend\desktop\src\renderer\src\scss\volt\components\_scrollbar.scss                       | SCSS       |        200 |          2 |         26 |        228 |
| d:\REACT\ExpoApp-frontend2\frontend\desktop\src\renderer\src\scss\volt\components\_shapes.scss                          | SCSS       |         12 |          3 |          4 |         19 |
| d:\REACT\ExpoApp-frontend2\frontend\desktop\src\renderer\src\scss\volt\components\_tables.scss                          | SCSS       |        325 |         27 |         82 |        434 |
| d:\REACT\ExpoApp-frontend2\frontend\desktop\src\renderer\src\scss\volt\components\_timelines.scss                       | SCSS       |         18 |          3 |          3 |         24 |
| d:\REACT\ExpoApp-frontend2\frontend\desktop\src\renderer\src\scss\volt\components\_tooltip.scss                         | SCSS       |         39 |          1 |          6 |         46 |
| d:\REACT\ExpoApp-frontend2\frontend\desktop\src\renderer\src\scss\volt\components\_type.scss                            | SCSS       |        140 |          8 |         36 |        184 |
| d:\REACT\ExpoApp-frontend2\frontend\desktop\src\renderer\src\scss\volt\layout\_footer.scss                              | SCSS       |         84 |          3 |         18 |        105 |
| d:\REACT\ExpoApp-frontend2\frontend\desktop\src\renderer\src\scss\volt\layout\_navbar.scss                              | SCSS       |        383 |          8 |         96 |        487 |
| d:\REACT\ExpoApp-frontend2\frontend\desktop\src\renderer\src\scss\volt\layout\_section.scss                             | SCSS       |        424 |         12 |         33 |        469 |
| d:\REACT\ExpoApp-frontend2\frontend\desktop\src\renderer\src\scss\volt\layout\_sidebar.scss                             | SCSS       |         33 |          3 |          6 |         42 |
| d:\REACT\ExpoApp-frontend2\frontend\desktop\src\renderer\src\scss\volt\layout\_sidenav.scss                             | SCSS       |        215 |          3 |         40 |        258 |
| d:\REACT\ExpoApp-frontend2\frontend\desktop\src\renderer\src\scss\volt\mixins\_animations.scss                          | SCSS       |         42 |          0 |          3 |         45 |
| d:\REACT\ExpoApp-frontend2\frontend\desktop\src\renderer\src\scss\volt\mixins\_background-variant.scss                  | SCSS       |         21 |          1 |          4 |         26 |
| d:\REACT\ExpoApp-frontend2\frontend\desktop\src\renderer\src\scss\volt\mixins\_icon.scss                                | SCSS       |         15 |          0 |          2 |         17 |
| d:\REACT\ExpoApp-frontend2\frontend\desktop\src\renderer\src\scss\volt\mixins\_modals.scss                              | SCSS       |         21 |          0 |          2 |         23 |
| d:\REACT\ExpoApp-frontend2\frontend\desktop\src\renderer\src\scss\volt\mixins\_popover.scss                             | SCSS       |         33 |          0 |          4 |         37 |
| d:\REACT\ExpoApp-frontend2\frontend\desktop\src\renderer\src\scss\volt\mixins\_transform.scss                           | SCSS       |         13 |          2 |          4 |         19 |
| d:\REACT\ExpoApp-frontend2\frontend\desktop\src\renderer\src\scss\volt\mixins\_utilities.scss                           | SCSS       |        107 |          0 |         16 |        123 |
| d:\REACT\ExpoApp-frontend2\frontend\desktop\src\renderer\src\scss\volt\themes\_variables-dark.scss                      | SCSS       |          0 |          0 |          1 |          1 |
| d:\REACT\ExpoApp-frontend2\frontend\desktop\src\renderer\src\scss\volt\themes\_variables-light.scss                     | SCSS       |          0 |          0 |          1 |          1 |
| d:\REACT\ExpoApp-frontend2\frontend\desktop\src\renderer\src\scss\volt\themes\_variables-sunset.scss                    | SCSS       |          0 |          0 |          1 |          1 |
| d:\REACT\ExpoApp-frontend2\frontend\desktop\src\renderer\src\scss\volt\utilities\_animations.scss                       | SCSS       |        195 |          4 |         31 |        230 |
| d:\REACT\ExpoApp-frontend2\frontend\desktop\src\renderer\src\scss\volt\utilities\_backgrounds.scss                      | SCSS       |         31 |          4 |          6 |         41 |
| d:\REACT\ExpoApp-frontend2\frontend\desktop\src\renderer\src\scss\volt\utilities\_helper.scss                           | SCSS       |         46 |          8 |         12 |         66 |
| d:\REACT\ExpoApp-frontend2\frontend\desktop\src\renderer\src\scss\volt\utilities\_position.scss                         | SCSS       |         26 |          3 |          5 |         34 |
| d:\REACT\ExpoApp-frontend2\frontend\desktop\src\renderer\src\scss\volt\utilities\_shadows.scss                          | SCSS       |         10 |          4 |          4 |         18 |
| d:\REACT\ExpoApp-frontend2\frontend\desktop\src\renderer\src\scss\volt\utilities\_sizing.scss                           | SCSS       |         38 |          4 |         10 |         52 |
| d:\REACT\ExpoApp-frontend2\frontend\desktop\src\renderer\src\scss\volt\utilities\_text.scss                             | SCSS       |         34 |          9 |         10 |         53 |
| d:\REACT\ExpoApp-frontend2\frontend\desktop\src\renderer\src\scss\volt\utilities\_transform.scss                        | SCSS       |         11 |          3 |          3 |         17 |
| d:\REACT\ExpoApp-frontend2\frontend\desktop\src\renderer\src\scss\volt\vendor\_datepicker.scss                          | SCSS       |         32 |          0 |          2 |         34 |
| d:\REACT\ExpoApp-frontend2\frontend\desktop\src\renderer\src\scss\volt\vendor\_headroom.scss                            | SCSS       |         44 |          0 |          8 |         52 |
| d:\REACT\ExpoApp-frontend2\frontend\desktop\src\renderer\src\scss\volt\vendor\_prism.scss                               | SCSS       |        117 |          7 |         21 |        145 |
| d:\REACT\ExpoApp-frontend2\frontend\desktop\src\renderer\src\scss\volt\vendor\chartist\_chartist.scss                   | SCSS       |        193 |         14 |         45 |        252 |
| d:\REACT\ExpoApp-frontend2\frontend\desktop\src\renderer\src\scss\volt\vendor\chartist\settings\_chartist-settings.scss | SCSS       |         62 |         16 |         12 |         90 |
| d:\REACT\ExpoApp-frontend2\frontend\desktop\src\renderer\src\scss\volt\vendor\wizard\_form.scss                         | SCSS       |        242 |          0 |         37 |        279 |
| d:\REACT\ExpoApp-frontend2\frontend\desktop\src\renderer\src\scss\volt\vendor\wizard\_mixins.scss                       | SCSS       |          8 |          3 |          1 |         12 |
| d:\REACT\ExpoApp-frontend2\frontend\desktop\src\renderer\src\scss\volt\vendor\wizard\_variables.scss                    | SCSS       |         19 |          7 |          7 |         33 |
| d:\REACT\ExpoApp-frontend2\frontend\desktop\tools\docker\Dockerfile                                                     | Docker     |          0 |          0 |          1 |          1 |
| d:\REACT\ExpoApp-frontend2\frontend\desktop\webpack\main.config.js                                                      | JavaScript |         24 |          0 |          1 |         25 |
| d:\REACT\ExpoApp-frontend2\frontend\desktop\webpack\renderer.base.config.js                                             | JavaScript |         47 |          0 |          1 |         48 |
| d:\REACT\ExpoApp-frontend2\frontend\desktop\webpack\renderer.dev.config.js                                              | JavaScript |         28 |          0 |          1 |         29 |
| d:\REACT\ExpoApp-frontend2\frontend\desktop\webpack\renderer.prod.config.js                                             | JavaScript |         11 |          0 |          2 |         13 |
| d:\REACT\ExpoApp-frontend2\frontend\web\package-lock.json                                                               | JSON       |     32,560 |          0 |          1 |     32,561 |
| d:\REACT\ExpoApp-frontend2\frontend\web\package.json                                                                    | JSON       |         52 |          0 |          1 |         53 |
| d:\REACT\ExpoApp-frontend2\frontend\web\public\index.html                                                               | HTML       |         20 |          0 |          4 |         24 |
| d:\REACT\ExpoApp-frontend2\frontend\web\src\App.js                                                                      | JavaScript |        142 |         16 |          7 |        165 |
| d:\REACT\ExpoApp-frontend2\frontend\web\src\index.css                                                                   | CSS        |         16 |          0 |          2 |         18 |
| d:\REACT\ExpoApp-frontend2\frontend\web\src\index.js                                                                    | JavaScript |         12 |          0 |          4 |         16 |
| d:\REACT\ExpoApp-frontend2\frontend\web\src\serviceWorker.js                                                            | JavaScript |         98 |         31 |         13 |        142 |
| d:\REACT\ExpoApp-frontend2\frontend\web\tools\docker\Dockerfile                                                         | Docker     |          8 |          5 |          6 |         19 |
| Total                                                                                                                   |            |     54,800 |        719 |      2,185 |     57,704 |
+-------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
